CIC_MEM_VERS = 1.0
CREATION_DATE  = 2009-12-08T09:00:00
ORIGINATOR     = CNES DCT/DA/PA JL. Le Gal
 
META_START

COMMENT Cic infos

OBJECT_NAME = CubeSat
OBJECT_ID = CubeSat

USER_DEFINED_PROTOCOL = NONE
USER_DEFINED_CONTENT = COLOR
USER_DEFINED_SIZE = 3
USER_DEFINED_TYPE = REAL
USER_DEFINED_UNIT = [n/a]

TIME_SYSTEM = UTC

META_STOP

57578	0	1 .4 0
57578	8000	1 0 0
57578	9000	1 .8 .4
57578	11410	.6 .8 1
57578	11890	1 .8 .4
57578	12840	1 1 .4
57578	13320	1 .8 .4
57578	18710	1 1 .4
57578	19240	1 .8 .4
57578	24530	1 1 .4
57578	25160	1 .8 .4
57578	26310	1 0 0
57578	26340	.4 1 .4
57578	26570	1 0 0
57578	26600	1 .8 .4
57578	30330	1 1 .4
57578	31040	1 .8 .4
57578	36120	1 1 .4
57578	36880	1 .8 .4
57578	36890	1 0 0
57578	36950	.4 1 .4
57578	36990	1 0 0
57578	37020	1 .8 .4
57578	41890	1 1 .4
57578	42590	1 0 0
57578	42620	.4 1 .4
57578	42730	1 0 0
57578	42760	1 .8 .4
57579	0	1 .8 .4

